Date,Date2,Confirmed,Deaths
01-22,2020-01-22,1,0
01-23,2020-01-23,1,0
01-24,2020-01-24,2,0
01-25,2020-01-25,2,0
01-26,2020-01-26,5,0
01-27,2020-01-27,5,0
01-28,2020-01-28,5,0
01-29,2020-01-29,5,0
01-30,2020-01-30,5,0
01-31,2020-01-31,7,0
02-01,2020-02-01,8,0
02-02,2020-02-02,8,0
02-03,2020-02-03,11,0
02-04,2020-02-04,11,0
02-05,2020-02-05,11,0
02-06,2020-02-06,11,0
02-07,2020-02-07,11,0
02-08,2020-02-08,11,0
02-09,2020-02-09,11,0
02-10,2020-02-10,11,0
02-11,2020-02-11,12,0
02-12,2020-02-12,12,0
02-13,2020-02-13,13,0
02-14,2020-02-14,13,0
02-15,2020-02-15,13,0
02-16,2020-02-16,13,0
02-17,2020-02-17,13,0
02-18,2020-02-18,13,0
02-19,2020-02-19,13,0
02-20,2020-02-20,13,0
02-21,2020-02-21,15,0
02-22,2020-02-22,15,0
02-23,2020-02-23,15,0
02-24,2020-02-24,51,0
02-25,2020-02-25,51,0
02-26,2020-02-26,57,0
02-27,2020-02-27,58,0
02-28,2020-02-28,60,0
02-29,2020-02-29,68,1
03-01,2020-03-01,74,1
03-02,2020-03-02,98,6
03-03,2020-03-03,118,7
03-04,2020-03-04,149,11
03-05,2020-03-05,217,12
03-06,2020-03-06,262,14
03-07,2020-03-07,402,17
03-08,2020-03-08,518,21
03-09,2020-03-09,583,22
03-10,2020-03-10,959,28
03-11,2020-03-11,1281,36
03-12,2020-03-12,1663,40
03-13,2020-03-13,2179,47
03-14,2020-03-14,2727,54
03-15,2020-03-15,3499,63
03-16,2020-03-16,4632,85
03-17,2020-03-17,6421,108
03-18,2020-03-18,7783,118
03-19,2020-03-19,13677,200
03-20,2020-03-20,19100,244
03-21,2020-03-21,25489,307
03-22,2020-03-22,33276,417
03-23,2020-03-23,43847,557
03-24,2020-03-24,53740,706
03-25,2020-03-25,65778,942
03-26,2020-03-26,83836,1209
03-27,2020-03-27,101657,1581
03-28,2020-03-28,121478,2026
